Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,chip_antibody,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR1636792,ChIP-Seq,100,1314671800,PRJNA266015,SAMN03154565,900095972,Kc167 Drosophila Embryonic Cell line,GEO,Pc_RJ,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX749064,GSM1536006,Illumina HiSeq 2000,PAIRED,ChIP,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-02-26T00:00:00Z,GSM1536006,Kc167,SRP049442
SRR1636793,ChIP-Seq,100,1972198400,PRJNA266015,SAMN03154529,1322342756,Kc167 Drosophila Embryonic Cell line,GEO,Pc_VP,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX749065,GSM1536007,Illumina HiSeq 2000,PAIRED,ChIP,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-02-26T00:00:00Z,GSM1536007,Kc167,SRP049442
SRR1636795,ChIP-Seq,100,1543772900,PRJNA266015,SAMN03154525,998259153,Kc167 Drosophila Embryonic Cell line,GEO,Rad21,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX749067,GSM1536009,Illumina HiSeq 2000,PAIRED,ChIP,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-02-26T00:00:00Z,GSM1536009,Kc167,SRP049442
SRR1636796,ChIP-Seq,100,2008449200,PRJNA266015,SAMN03154537,1355271720,Kc167 Drosophila Embryonic Cell line,GEO,Rad21,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX749068,GSM1536010,Illumina HiSeq 2000,PAIRED,ChIP,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-02-26T00:00:00Z,GSM1536010,Kc167,SRP049442
SRR1636797,ChIP-Seq,100,2251079600,PRJNA266015,SAMN03154559,1533012334,Kc167 Drosophila Embryonic Cell line,GEO,Rad21,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX749069,GSM1536011,Illumina HiSeq 2000,PAIRED,ChIP,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-02-26T00:00:00Z,GSM1536011,Kc167,SRP049442
SRR1636800,ChIP-Seq,100,1132732200,PRJNA266015,SAMN03154560,751899356,Kc167 Drosophila Embryonic Cell line,GEO,RNAPII,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX749072,GSM1536014,Illumina HiSeq 2000,PAIRED,ChIP,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-02-26T00:00:00Z,GSM1536014,Kc167,SRP049442
SRR1636805,ChIP-Seq,100,789778600,PRJNA266015,SAMN03154535,542974077,Kc167 Drosophila Embryonic Cell line,GEO,TFIIIC,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX749077,GSM1536019,Illumina HiSeq 2000,PAIRED,ChIP,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-02-26T00:00:00Z,GSM1536019,Kc167,SRP049442
SRR1636806,ChIP-Seq,100,1307761300,PRJNA266015,SAMN03154566,928885202,Kc167 Drosophila Embryonic Cell line,GEO,TFIIIC,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX749078,GSM1536020,Illumina HiSeq 2000,PAIRED,ChIP,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-02-26T00:00:00Z,GSM1536020,Kc167,SRP049442
SRR1636808,ChIP-Seq,100,2023011300,PRJNA266015,SAMN03154554,1370636894,Kc167 Drosophila Embryonic Cell line,GEO,Z4,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX749080,GSM1536022,Illumina HiSeq 2000,PAIRED,ChIP,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-02-26T00:00:00Z,GSM1536022,Kc167,SRP049442
SRR1636749,ChIP-Seq,100,2023026500,PRJNA266015,SAMN03154512,1269882533,Kc167 Drosophila Embryonic Cell line,GEO,BEAF,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX749021,GSM1535963,Illumina HiSeq 2000,PAIRED,ChIP,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-02-26T00:00:00Z,GSM1535963,Kc167,SRP049442
